Player,Player #,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,BA,OBP,SLG,OPS,TB,final_score
"6,125,000",1,688,113,204,132,37,19,16,68,56,15,66,0.297,0.358,0.475,0.833,327,0.676930853
"18,000,000",2,686,103,213,180,20,7,6,42,43,4,51,0.31,0.361,0.386,0.747,265,0.493570337
"4,000,000",3,661,93,186,144,33,1,8,57,19,6,56,0.281,0.334,0.371,0.705,245,0.380853288
"1,750,000",4,653,118,213,140,54,2,17,83,20,1,50,0.326,0.376,0.493,0.869,322,0.6884315
"13,054,526",5,645,102,183,133,36,2,12,82,10,0,55,0.284,0.339,0.402,0.741,259,0.428782401
"2,250,000",6,644,80,191,132,41,1,17,89,6,3,27,0.297,0.322,0.443,0.765,285,0.442551566
"7,166,666",7,635,85,186,117,43,3,23,110,2,4,64,0.293,0.358,0.479,0.837,304,0.558018478
"6,400,000",8,635,91,185,115,47,8,15,79,32,8,44,0.291,0.337,0.461,0.798,293,0.517156719
"4,766,666",9,634,101,170,93,39,5,33,90,38,5,98,0.268,0.374,0.502,0.876,318,0.634034482
"14,811,414",10,632,92,179,125,38,3,13,66,7,7,24,0.283,0.314,0.415,0.729,262,0.38227064
"3,500,000",11,628,92,174,104,41,0,29,95,6,2,40,0.277,0.327,0.481,0.808,302,0.493125844
"3,250,000",12,627,91,172,127,30,9,6,48,8,6,70,0.274,0.349,0.38,0.729,238,0.356768082
"7,750,000",13,626,115,189,112,42,2,33,124,15,5,94,0.302,0.39,0.534,0.924,334,0.759060044
"555,000",14,624,98,190,118,35,5,32,130,9,1,64,0.304,0.371,0.53,0.901,331,0.675847152
"432,400",15,624,71,162,104,31,4,23,84,0,0,23,0.26,0.299,0.433,0.732,270,0.307679667
"11,600,000",16,623,97,187,113,47,4,23,129,0,1,76,0.3,0.374,0.499,0.873,311,0.629758284
"13,250,000",17,623,93,181,117,41,3,20,90,8,2,71,0.291,0.361,0.462,0.823,288,0.527462836
"4,000,000",18,616,85,180,105,36,2,37,127,1,0,56,0.292,0.349,0.537,0.886,331,0.606693546
"3,450,000",19,616,103,172,103,32,1,36,119,0,0,74,0.279,0.361,0.51,0.871,314,0.601040173
"3,250,000",20,612,76,164,93,45,6,20,91,23,7,27,0.268,0.3,0.459,0.759,281,0.395963391
"8,000,000",21,611,107,181,113,51,8,9,57,40,10,82,0.296,0.378,0.45,0.828,275,0.57388411
"1,500,000",22,611,91,178,102,44,11,21,67,3,3,41,0.291,0.333,0.502,0.835,307,0.499383985
"7,050,000",23,611,86,175,119,32,3,21,99,1,1,40,0.286,0.328,0.452,0.78,276,0.433338469
"1,032,500",24,611,92,174,91,39,7,37,106,14,4,42,0.285,0.335,0.553,0.888,338,0.607343261
"9,000,000",25,609,100,180,117,39,4,20,100,22,11,73,0.296,0.371,0.471,0.842,287,0.599049062
"11,285,714",26,607,113,177,99,41,4,33,104,14,2,64,0.292,0.38,0.535,0.915,325,0.677908453
"467,000",27,606,93,176,115,38,5,18,76,35,11,46,0.29,0.34,0.459,0.799,278,0.507105813
"19,243,683",28,606,116,172,100,40,5,27,112,25,3,92,0.284,0.376,0.5,0.876,303,0.650815564
"3,650,000",29,605,104,167,98,42,4,23,89,3,1,48,0.276,0.331,0.473,0.804,286,0.477229784
"9,600,000",30,598,84,183,133,38,2,10,64,25,2,59,0.306,0.363,0.426,0.789,255,0.452145296
"8,000,000",31,598,96,182,100,48,2,32,108,4,0,53,0.304,0.36,0.552,0.912,330,0.642886545
"12,000,000",32,598,96,162,91,32,1,38,115,1,1,72,0.271,0.353,0.518,0.871,310,0.566478711
"12,000,000",33,598,66,158,95,42,1,20,97,2,1,23,0.264,0.3,0.438,0.738,262,0.308933285
"2,500,000",34,597,113,165,89,46,4,26,94,23,3,65,0.276,0.356,0.497,0.853,297,0.577964686
"6,000,000",35,597,70,162,110,35,3,14,72,2,4,26,0.271,0.305,0.41,0.715,245,0.280808096
"21,600,000",36,596,88,179,140,25,3,11,69,11,5,52,0.3,0.363,0.408,0.771,243,0.421807086
"3,350,000",37,595,106,182,113,48,1,20,87,10,7,99,0.306,0.406,0.491,0.897,292,0.659638449
"465,000",38,595,66,172,118,35,6,13,90,7,4,45,0.289,0.338,0.434,0.772,258,0.382519694
"439,000",39,595,78,160,97,34,4,25,83,11,10,40,0.269,0.318,0.466,0.784,277,0.415728159
"11,500,000",40,590,96,172,95,41,2,34,96,3,2,44,0.292,0.344,0.541,0.885,319,0.581125114
"5,500,000",41,589,125,177,106,34,4,33,67,35,12,92,0.301,0.4,0.54,0.94,318,0.750959979
"7,000,000",42,588,86,162,96,30,2,34,102,3,2,84,0.276,0.372,0.507,0.879,298,0.551368838
"4,600,000",43,580,90,178,133,34,3,8,58,7,1,35,0.307,0.35,0.417,0.767,242,0.3895613
"500,000",44,580,85,178,154,19,4,1,38,22,13,73,0.307,0.387,0.359,0.746,208,0.390687706
"8,000,000",45,579,77,183,134,35,5,9,55,6,5,23,0.316,0.345,0.44,0.785,255,0.402731235
"7,800,000",46,577,111,165,95,35,4,31,101,10,0,81,0.286,0.373,0.522,0.895,301,0.612662512
"437,500",47,577,79,149,111,24,7,7,59,33,11,25,0.258,0.296,0.36,0.656,208,0.219110854
"1,152,000",48,575,80,167,125,28,4,10,69,14,5,35,0.29,0.336,0.405,0.741,233,0.341408034
"20,625,000",49,574,102,177,103,41,0,33,121,2,0,97,0.308,0.41,0.552,0.962,317,0.7192186
"3,575,000",50,572,66,146,96,31,4,15,59,4,3,46,0.255,0.313,0.402,0.715,230,0.232347226
